"x","y","Z_cell"
0.25633,0.61222,"stroma"
0.25963,0.60645,"necrosis"
0.25572,0.61322,"lymphocyte"
0.25768,0.60927,"stroma"
0.26014,0.60582,"necrosis"
0.26447,0.60873,"stroma"
0.25917,0.60804,"necrosis"
0.25907,0.60659,"necrosis"
0.2547,0.62354,"stroma"
0.26484,0.619,"stroma"
0.26452,0.61554,"stroma"
0.25735,0.61741,"tumor"
0.26373,0.61972,"stroma"
0.25693,0.61895,"stroma"
0.25558,0.63563,"stroma"
0.25768,0.64063,"stroma"
0.26242,0.64322,"stroma"
0.25442,0.64458,"stroma"
0.26154,0.64176,"stroma"
0.2634,0.64244,"stroma"
0.2567,0.63908,"stroma"
0.26298,0.64531,"stroma"
0.26038,0.64249,"stroma"
0.26401,0.64349,"stroma"
0.26121,0.64499,"stroma"
0.25647,0.65099,"stroma"
0.26452,0.6509,"stroma"
0.25707,0.64894,"stroma"
0.2627,0.64567,"stroma"
0.26131,0.65044,"stroma"
0.26359,0.64885,"stroma"
0.26117,0.65471,"tumor"
0.25954,0.65562,"tumor"
0.26368,0.65372,"stroma"
0.25982,0.65076,"stroma"
0.25554,0.64799,"stroma"
0.26233,0.64953,"stroma"
0.26456,0.65503,"tumor"
0.26414,0.6554,"tumor"
0.26024,0.64699,"tumor"
0.26047,0.6519,"stroma"
0.25884,0.65285,"stroma"
0.26368,0.64622,"stroma"
0.26452,0.6539,"stroma"
0.26424,0.64726,"stroma"
0.25437,0.65517,"stroma"
0.26028,0.64894,"tumor"
0.25703,0.65558,"stroma"
0.26014,0.65322,"stroma"
0.26242,0.6549,"tumor"
0.25637,0.65876,"stroma"
0.25447,0.66521,"stroma"
0.25693,0.65621,"stroma"
0.25526,0.65958,"stroma"
0.25731,0.66585,"stroma"
0.25907,0.6584,"stroma"
0.26238,0.6593,"stroma"
0.26401,0.65971,"stroma"
0.26401,0.66126,"stroma"
0.25949,0.6599,"blood"
0.26326,0.6628,"stroma"
0.26149,0.6579,"stroma"
0.25856,0.66444,"lymphocyte"
0.25814,0.65653,"blood"
0.25814,0.66421,"stroma"
0.2594,0.65731,"stroma"
0.26256,0.6628,"stroma"
0.26252,0.65599,"tumor"
0.25703,0.6623,"stroma"
0.26252,0.66058,"stroma"
0.256,0.67435,"stroma"
0.26019,0.67312,"stroma"
0.25884,0.67539,"stroma"
0.26261,0.67371,"stroma"
0.25731,0.6733,"stroma"
0.25465,0.66635,"stroma"
0.258,0.66785,"stroma"
0.26387,0.67017,"stroma"
0.26191,0.66653,"stroma"
0.25772,0.66803,"stroma"
0.25758,0.67589,"stroma"
0.26438,0.66794,"stroma"
0.26428,0.67407,"tumor"
0.25558,0.67103,"stroma"
0.25563,0.67371,"stroma"
0.26256,0.67103,"lymphocyte"
0.26084,0.6758,"stroma"
0.25484,0.66753,"stroma"
0.26121,0.67267,"stroma"
0.25903,0.67126,"stroma"
0.26233,0.67162,"stroma"
0.26368,0.66671,"stroma"
0.26154,0.67594,"stroma"
0.26359,0.67167,"stroma"
0.25526,0.66989,"stroma"
0.25749,0.66953,"stroma"
0.26024,0.66926,"stroma"
0.25568,0.68198,"stroma"
0.25703,0.68348,"stroma"
0.26475,0.68171,"stroma"
0.26363,0.68107,"lymphocyte"
0.26047,0.68525,"stroma"
0.25893,0.67698,"stroma"
0.25684,0.67662,"stroma"
0.26363,0.68166,"stroma"
0.26461,0.67739,"stroma"
0.25544,0.68612,"stroma"
0.26424,0.68507,"stroma"
0.26396,0.67925,"stroma"
0.26205,0.68289,"stroma"
0.256,0.67657,"stroma"
0.25735,0.67762,"stroma"
0.2628,0.68203,"stroma"
0.25972,0.67921,"stroma"
0.26191,0.68634,"stroma"
0.26252,0.67953,"tumor"
0.26149,0.67653,"stroma"
0.25917,0.68248,"stroma"
0.26354,0.68407,"stroma"
0.25749,0.68625,"stroma"
0.26326,0.67807,"stroma"
0.26275,0.67635,"stroma"
0.26145,0.68098,"stroma"
0.2647,0.69407,"stroma"
0.26182,0.68884,"stroma"
0.26177,0.69552,"stroma"
0.26242,0.69366,"stroma"
0.26303,0.69152,"stroma"
0.2554,0.68662,"stroma"
0.25828,0.69093,"stroma"
0.26377,0.68698,"stroma"
0.25717,0.68948,"stroma"
0.26261,0.68703,"stroma"
0.25749,0.68825,"stroma"
0.2648,0.69398,"stroma"
0.25642,0.68693,"blood"
0.26107,0.6883,"stroma"
0.25656,0.69671,"stroma"
0.25698,0.69234,"stroma"
0.25721,0.69511,"stroma"
0.26475,0.69271,"stroma"
0.26056,0.6873,"stroma"
0.25828,0.68775,"stroma"
0.26428,0.69561,"stroma"
0.26145,0.69775,"stroma"
0.25642,0.70552,"blood"
0.25442,0.70607,"stroma"
0.26401,0.69689,"stroma"
0.25554,0.70361,"stroma"
0.26456,0.69793,"stroma"
0.26303,0.70657,"stroma"
0.25442,0.7062,"stroma"
0.26126,0.70643,"stroma"
0.26321,0.70098,"stroma"
0.26084,0.70579,"stroma"
0.26419,0.70534,"stroma"
0.26373,0.70279,"stroma"
0.26461,0.7003,"stroma"
0.25749,0.69684,"stroma"
0.26052,0.70407,"stroma"
0.25451,0.69793,"stroma"
0.26089,0.69757,"stroma"
0.25647,0.69693,"stroma"
0.2614,0.69984,"stroma"
0.26387,0.70648,"stroma"
0.26284,0.71702,"stroma"
0.25889,0.7102,"stroma"
0.25893,0.7092,"stroma"
0.26298,0.71107,"stroma"
0.26373,0.7172,"stroma"
0.26484,0.70766,"stroma"
0.25814,0.71143,"stroma"
0.26107,0.70725,"stroma"
0.25447,0.7137,"necrosis"
0.26228,0.71047,"stroma"
0.26317,0.71357,"stroma"
0.26396,0.70988,"stroma"
0.26024,0.70802,"stroma"
0.25898,0.71166,"stroma"
0.25865,0.71661,"stroma"
0.26298,0.7072,"stroma"
0.25861,0.70907,"stroma"
0.25879,0.7072,"stroma"
0.25917,0.71379,"stroma"
0.26103,0.70993,"stroma"
0.26205,0.72643,"stroma"
0.26373,0.71806,"stroma"
0.26307,0.72374,"stroma"
0.26038,0.72552,"stroma"
0.26238,0.72488,"stroma"
0.26345,0.72011,"stroma"
0.2634,0.72715,"stroma"
0.26149,0.71861,"stroma"
0.26224,0.7192,"stroma"
0.2627,0.72238,"stroma"
0.26177,0.72138,"stroma"
0.26447,0.72234,"stroma"
0.25954,0.71902,"necrosis"
0.25675,0.72338,"stroma"
0.25782,0.72584,"stroma"
0.25833,0.71747,"stroma"
0.25735,0.7207,"stroma"
0.26186,0.72652,"stroma"
0.2641,0.7282,"stroma"
0.25991,0.73551,"stroma"
0.26405,0.73124,"stroma"
0.26089,0.73197,"stroma"
0.25884,0.72824,"stroma"
0.26205,0.73429,"stroma"
0.25614,0.7307,"stroma"
0.26089,0.73415,"stroma"
0.25903,0.73011,"stroma"
0.25814,0.73433,"stroma"
0.26307,0.72802,"stroma"
0.26256,0.73679,"tumor"
0.25614,0.73306,"stroma"
0.25791,0.72865,"stroma"
0.26014,0.73247,"stroma"
0.2648,0.7312,"stroma"
0.26252,0.73133,"stroma"
0.25679,0.72883,"stroma"
0.27066,0.49848,"lymphocyte"
0.27122,0.50161,"necrosis"
0.27033,0.49489,"stroma"
0.27354,0.4982,"tumor"
0.27159,0.49793,"stroma"
0.27303,0.49957,"necrosis"
0.27364,0.5007,"tumor"
0.26908,0.49771,"lymphocyte"
0.26852,0.49861,"necrosis"
0.27475,0.49671,"tumor"
0.27308,0.49598,"stroma"
0.26726,0.5012,"lymphocyte"
0.26736,0.50089,"necrosis"
0.27098,0.49693,"stroma"
0.27471,0.49834,"tumor"
0.27196,0.50007,"necrosis"
0.26996,0.49648,"stroma"
0.26959,0.50043,"stroma"
0.26857,0.50102,"blood"
0.2688,0.50143,"blood"
0.26875,0.5007,"blood"
0.27252,0.50161,"tumor"
0.26526,0.50502,"blood"
0.26824,0.50943,"lymphocyte"
0.26777,0.51029,"lymphocyte"
0.26647,0.50589,"stroma"
0.27154,0.50752,"lymphocyte"
0.26991,0.50648,"stroma"
0.26819,0.50448,"stroma"
0.27466,0.50607,"stroma"
0.26754,0.50452,"stroma"
0.26526,0.50852,"stroma"
0.27126,0.50261,"stroma"
0.27503,0.51011,"stroma"
0.27503,0.50484,"stroma"
0.26698,0.50652,"stroma"
0.26857,0.50293,"lymphocyte"
0.26843,0.50261,"stroma"
0.27112,0.51188,"stroma"
0.27043,0.51097,"stroma"
0.2721,0.51088,"stroma"
0.27322,0.50266,"tumor"
0.26489,0.50643,"stroma"
0.26554,0.50439,"blood"
0.26619,0.50411,"stroma"
0.26633,0.50879,"stroma"
0.27299,0.50911,"stroma"
0.26796,0.51152,"stroma"
0.26894,0.51061,"stroma"
0.26694,0.51079,"stroma"
0.2734,0.51116,"stroma"
0.27447,0.51011,"stroma"
0.27247,0.51852,"lymphocyte"
0.27047,0.52047,"lymphocyte"
0.2721,0.51652,"lymphocyte"
0.27136,0.5147,"stroma"
0.27531,0.52079,"lymphocyte"
0.26884,0.5212,"lymphocyte"
0.26987,0.51856,"lymphocyte"
0.27317,0.51652,"lymphocyte"
0.27392,0.51884,"lymphocyte"
0.27471,0.51743,"stroma"
0.27336,0.51734,"stroma"
0.27066,0.51834,"stroma"
0.27066,0.51943,"stroma"
0.26573,0.51602,"stroma"
0.26703,0.51538,"stroma"
0.26712,0.5182,"stroma"
0.26684,0.51684,"stroma"
0.26517,0.51379,"tumor"
0.27196,0.51238,"blood"
0.26805,0.52002,"stroma"
0.26642,0.51475,"stroma"
0.26712,0.51238,"stroma"
0.26754,0.5142,"stroma"
0.27126,0.51375,"stroma"
0.26587,0.52061,"necrosis"
0.27266,0.52215,"stroma"
0.26508,0.5167,"stroma"
0.27108,0.51752,"stroma"
0.26582,0.52206,"stroma"
0.26847,0.51761,"stroma"
0.27168,0.52184,"stroma"
0.26605,0.51766,"stroma"
0.27331,0.51447,"stroma"
0.27378,0.5242,"stroma"
0.26982,0.53147,"lymphocyte"
0.27443,0.52311,"lymphocyte"
0.2667,0.52574,"stroma"
0.26587,0.52384,"blood"
0.26926,0.53192,"stroma"
0.26954,0.52824,"stroma"
0.26582,0.52961,"stroma"
0.27285,0.52938,"stroma"
0.27122,0.52361,"stroma"
0.26759,0.52824,"stroma"
0.26619,0.52806,"lymphocyte"
0.26498,0.52861,"stroma"
0.27205,0.53106,"stroma"
0.2668,0.53156,"tumor"
0.27243,0.52465,"stroma"
0.26787,0.53097,"lymphocyte"
0.27178,0.52965,"stroma"
0.2721,0.53106,"stroma"
0.27289,0.52556,"stroma"
0.26861,0.52515,"stroma"
0.27447,0.52524,"stroma"
0.26884,0.52683,"stroma"
0.27294,0.52497,"stroma"
0.26684,0.52943,"stroma"
0.27224,0.52765,"blood"
0.26866,0.52993,"stroma"
0.26661,0.52229,"stroma"
0.27503,0.52947,"stroma"
0.27326,0.52234,"stroma"
0.26573,0.54029,"lymphocyte"
0.27364,0.53456,"lymphocyte"
0.27503,0.53547,"lymphocyte"
0.27485,0.53797,"lymphocyte"
0.27457,0.54001,"lymphocyte"
0.26726,0.53829,"stroma"
0.27536,0.53774,"lymphocyte"
0.26512,0.53983,"lymphocyte"
0.26624,0.53742,"stroma"
0.26931,0.53479,"stroma"
0.26861,0.53256,"lymphocyte"
0.26926,0.54188,"stroma"
0.27447,0.53842,"lymphocyte"
0.26991,0.53474,"stroma"
0.26656,0.53383,"lymphocyte"
0.2728,0.54033,"stroma"
0.2742,0.53283,"stroma"
0.2681,0.53597,"stroma"
0.2667,0.5347,"lymphocyte"
0.26666,0.53302,"lymphocyte"
0.27494,0.54097,"stroma"
0.26801,0.53965,"stroma"
0.26615,0.53897,"blood"
0.26545,0.53352,"stroma"
0.26973,0.53547,"stroma"
0.27168,0.54215,"stroma"
0.27112,0.54115,"stroma"
0.27122,0.53792,"stroma"
0.26866,0.53347,"lymphocyte"
0.26549,0.53542,"stroma"
0.27173,0.53779,"stroma"
0.27159,0.53611,"stroma"
0.26749,0.53256,"stroma"
0.26903,0.53252,"blood"
0.27331,0.53288,"stroma"
0.26642,0.54042,"stroma"
0.26857,0.53261,"stroma"
0.26717,0.54124,"stroma"
0.27205,0.53279,"stroma"
0.2735,0.53929,"stroma"
0.26819,0.53724,"stroma"
0.27164,0.53252,"stroma"
0.27443,0.5396,"stroma"
0.27047,0.55006,"stroma"
0.27527,0.54329,"lymphocyte"
0.26521,0.54838,"lymphocyte"
0.27503,0.54397,"lymphocyte"
0.27531,0.54569,"lymphocyte"
0.26838,0.54883,"stroma"
0.27364,0.5481,"stroma"
0.27094,0.54424,"stroma"
0.27517,0.54792,"lymphocyte"
0.26801,0.55047,"stroma"
0.2741,0.55015,"stroma"
0.2687,0.55074,"stroma"
0.27089,0.54833,"stroma"
0.27075,0.55265,"stroma"
0.26573,0.55001,"stroma"
0.27303,0.54456,"stroma"
0.2735,0.54379,"stroma"
0.27457,0.5526,"stroma"
0.2721,0.54379,"stroma"
0.26554,0.54392,"stroma"
0.27154,0.55251,"stroma"
0.27098,0.54778,"stroma"
0.26768,0.54619,"stroma"
0.26666,0.54765,"stroma"
0.26591,0.54597,"stroma"
0.27527,0.5446,"stroma"
0.27336,0.55869,"lymphocyte"
0.27261,0.56283,"lymphocyte"
0.27531,0.55837,"lymphocyte"
0.26829,0.55592,"stroma"
0.2728,0.55347,"stroma"
0.26554,0.56219,"stroma"
0.27247,0.56105,"lymphocyte"
0.27136,0.5551,"lymphocyte"
0.27345,0.56183,"stroma"
0.26563,0.55646,"stroma"
0.26922,0.56096,"lymphocyte"
0.27131,0.56151,"lymphocyte"
0.27089,0.55669,"stroma"
0.27271,0.56201,"lymphocyte"
0.27233,0.55815,"lymphocyte"
0.27513,0.55524,"lymphocyte"
0.27401,0.55965,"lymphocyte"
0.27164,0.55347,"stroma"
0.26829,0.55569,"stroma"
0.26824,0.56178,"stroma"
0.26815,0.56042,"stroma"
0.26512,0.55487,"stroma"
0.26512,0.56128,"stroma"
0.26945,0.5601,"lymphocyte"
0.26731,0.56319,"stroma"
0.26619,0.55924,"stroma"
0.27168,0.55333,"stroma"
0.26908,0.55492,"stroma"
0.26521,0.55965,"stroma"
0.27261,0.56196,"stroma"
0.26689,0.56155,"stroma"
0.26591,0.55342,"stroma"
0.27466,0.55678,"stroma"
0.27387,0.55983,"stroma"
0.27322,0.56614,"lymphocyte"
0.27447,0.56869,"lymphocyte"
0.27378,0.57028,"lymphocyte"
0.27531,0.57146,"lymphocyte"
0.27373,0.5671,"stroma"
0.27238,0.56355,"lymphocyte"
0.27164,0.56842,"stroma"
0.27401,0.56642,"lymphocyte"
0.27475,0.56483,"lymphocyte"
0.27233,0.5716,"lymphocyte"
0.27531,0.56928,"stroma"
0.26526,0.56742,"stroma"
0.26926,0.57037,"stroma"
0.27052,0.5641,"lymphocyte"
0.26703,0.56596,"lymphocyte"
0.26591,0.56983,"lymphocyte"
0.26922,0.57155,"stroma"
0.26563,0.57169,"stroma"
0.27224,0.5646,"stroma"
0.27233,0.57242,"lymphocyte"
0.26782,0.57337,"stroma"
0.27192,0.57323,"stroma"
0.27368,0.57205,"stroma"
0.2701,0.56328,"lymphocyte"
0.26642,0.56742,"stroma"
0.26763,0.5731,"stroma"
0.26726,0.56328,"stroma"
0.2742,0.56723,"lymphocyte"
0.26889,0.56374,"stroma"
0.27536,0.57314,"blood"
0.27285,0.57205,"lymphocyte"
0.26833,0.56864,"stroma"
0.27164,0.56873,"stroma"
0.27345,0.56433,"stroma"
0.27168,0.56696,"stroma"
0.26931,0.57055,"stroma"
0.26591,0.56987,"stroma"
0.26861,0.56551,"stroma"
0.26512,0.56728,"stroma"
0.26805,0.57037,"stroma"
0.27317,0.57614,"lymphocyte"
0.26787,0.57987,"stroma"
0.2681,0.57796,"lymphocyte"
0.27303,0.57496,"lymphocyte"
0.26508,0.58105,"stroma"
0.26577,0.57641,"stroma"
0.26619,0.57823,"stroma"
0.26973,0.57869,"stroma"
0.26559,0.57478,"stroma"
0.26694,0.58219,"necrosis"
0.27443,0.57673,"lymphocyte"
0.27531,0.57437,"stroma"
0.27285,0.57973,"stroma"
0.27168,0.5746,"stroma"
0.27499,0.58128,"stroma"
0.26777,0.58237,"blood"
0.27052,0.58096,"stroma"
0.26498,0.57891,"stroma"
0.2728,0.5816,"stroma"
0.27424,0.57837,"stroma"
0.26843,0.58296,"lymphocyte"
0.27131,0.57878,"stroma"
0.27452,0.58032,"stroma"
0.27219,0.5811,"stroma"
0.27005,0.58378,"blood"
0.26773,0.57973,"stroma"
0.26894,0.58355,"stroma"
0.26996,0.57646,"stroma"
0.27438,0.58587,"stroma"
0.26991,0.58828,"stroma"
0.26708,0.58559,"lymphocyte"
0.26903,0.58441,"stroma"
0.27312,0.58628,"lymphocyte"
0.26763,0.58487,"lymphocyte"
0.27094,0.58509,"necrosis"
0.27261,0.59037,"lymphocyte"
0.26973,0.59346,"stroma"
0.27326,0.58941,"stroma"
0.26884,0.58664,"stroma"
0.27308,0.58382,"stroma"
0.27447,0.58923,"stroma"
0.27266,0.58728,"blood"
0.27066,0.59332,"blood"
0.27331,0.59396,"blood"
0.2735,0.58519,"blood"
0.26968,0.58578,"stroma"
0.27424,0.58409,"stroma"
0.26987,0.59159,"stroma"
0.27466,0.59373,"stroma"
0.27457,0.59155,"blood"
0.27154,0.59391,"stroma"
0.27066,0.59064,"stroma"
0.27224,0.59305,"blood"
0.26805,0.58596,"stroma"
0.27247,0.60241,"stroma"
0.27266,0.598,"stroma"
0.26494,0.59741,"stroma"
0.26577,0.6005,"stroma"
0.26875,0.60273,"stroma"
0.27513,0.59414,"stroma"
0.27331,0.59486,"blood"
0.27336,0.60291,"blood"
0.27261,0.59418,"stroma"
0.27159,0.5945,"stroma"
0.27336,0.6015,"stroma"
0.27475,0.59864,"stroma"
0.2721,0.59655,"stroma"
0.26684,0.59541,"stroma"
0.27401,0.59432,"stroma"
0.2654,0.60404,"stroma"
0.27401,0.60359,"stroma"
0.26503,0.60668,"stroma"
0.27308,0.60677,"stroma"
0.27406,0.60713,"stroma"
0.26615,0.6115,"necrosis"
0.27215,0.60482,"stroma"
0.27527,0.60536,"stroma"
0.27103,0.61154,"stroma"
0.27447,0.60918,"stroma"
0.27047,0.61382,"stroma"
0.27415,0.61272,"stroma"
0.27192,0.61786,"stroma"
0.27196,0.62409,"stroma"
0.27224,0.61981,"stroma"
0.26489,0.619,"stroma"
0.2708,0.62449,"stroma"
0.26791,0.61527,"stroma"
0.26498,0.6155,"stroma"
0.27112,0.61586,"lymphocyte"
0.27387,0.62054,"stroma"
0.27299,0.62472,"stroma"
0.27531,0.6214,"stroma"
0.27299,0.62036,"stroma"
0.26815,0.62445,"stroma"
0.27503,0.61486,"stroma"
0.2661,0.61822,"stroma"
0.27326,0.62331,"stroma"
0.26777,0.61686,"stroma"
0.27098,0.61581,"stroma"
0.27401,0.62445,"stroma"
0.27294,0.63277,"stroma"
0.27285,0.62713,"stroma"
0.27415,0.63036,"stroma"
0.27387,0.63463,"stroma"
0.26531,0.63208,"stroma"
0.27112,0.62568,"stroma"
0.26996,0.62845,"stroma"
0.27517,0.62513,"stroma"
0.27373,0.62522,"stroma"
0.26903,0.62581,"stroma"
0.27159,0.62708,"stroma"
0.27275,0.63481,"stroma"
0.2721,0.62904,"stroma"
0.27131,0.63158,"stroma"
0.27443,0.6269,"stroma"
0.2695,0.62568,"stroma"
0.26708,0.63113,"stroma"
0.26852,0.63049,"stroma"
0.27508,0.62949,"tumor"
0.27387,0.64249,"necrosis"
0.2734,0.63586,"stroma"
0.27052,0.64226,"stroma"
0.26545,0.64185,"stroma"
0.26773,0.64154,"lymphocyte"
0.26745,0.64008,"stroma"
0.26866,0.63745,"stroma"
0.26638,0.64431,"stroma"
0.26759,0.64499,"tumor"
0.27001,0.6454,"necrosis"
0.27173,0.64508,"tumor"
0.27261,0.63745,"stroma"
0.26754,0.64363,"stroma"
0.26647,0.63967,"stroma"
